ReefName,SiteName,SiteNumber,Date,HardCoralCoverage,SoftCoralCoverage,LiveCoralCoverage,CoralBleachingPopulation,CoralBleachingColony
Magnetic Island Reefs,Nelly Bay,2,2025-09-28,8.75,0,8.75,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2025-09-28,16.25,0,16.25,NA,NA
Magnetic Island Reefs,Alma Bay,2,2025-09-27,28.749999999999996,3.125,31.874999999999996,NA,NA
Magnetic Island Reefs,Florence Bay,2,2025-09-27,40,0,40,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2025-09-27,51.24999999999999,0.625,51.87499999999999,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2025-09-27,54.37499999999999,0,54.37499999999999,NA,NA
Magnetic Island Reefs,Alma Bay,1,2025-07-13,33.125,0.625,33.75,NA,NA
Magnetic Island Reefs,Florence Bay,1,2025-07-12,34.375,1.875,36.25,NA,NA
Magnetic Island Reefs,Middle Reef,1,2025-07-12,33.75,5,38.75,NA,NA
Magnetic Island Reefs,Middle Reef,2,2025-07-12,30.625000000000004,3.125,33.75,NA,NA
Magnetic Island Reefs,Florence Bay,1,2024-06-03,40.625,0,40.625,NA,NA
Magnetic Island Reefs,Florence Bay,2,2024-06-03,51.87500000000001,0,51.87500000000001,NA,NA
Magnetic Island Reefs,Middle Reef,2,2024-06-03,51.87500000000001,1.875,53.75000000000001,NA,NA
Magnetic Island Reefs,Middle Reef,1,2024-06-03,20,0,20,NA,NA
Magnetic Island Reefs,Alma Bay,2,2024-04-21,41.25,1.875,43.125,NA,NA
Magnetic Island Reefs,Alma Bay,1,2024-04-21,35.625,2.5,38.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2023-11-04,64.375,1.25,65.625,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2023-11-04,60,0,60,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2023-11-04,13.125,0,13.125,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2023-11-04,46.25,0,46.25,NA,NA
Magnetic Island Reefs,Alma Bay,2,2022-12-30,39.375,6.25,45.625,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2022-12-30,15.625,0,15.625,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2022-12-30,22.5,0,22.5,NA,NA
Magnetic Island Reefs,Florence Bay,1,2022-12-06,50,0.625,50.625,NA,NA
Magnetic Island Reefs,Florence Bay,2,2022-12-06,43.75,3.75,47.5,NA,NA
Magnetic Island Reefs,Middle Reef,2,2022-12-06,48.75,3.75,52.5,NA,NA
Magnetic Island Reefs,Middle Reef,1,2022-12-06,48.125,4.375,52.5,NA,NA
Magnetic Island Reefs,Alma Bay,1,2022-10-23,46.875,1.25,48.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2022-10-15,45,1.875,46.875,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2022-10-15,78.125,0,78.125,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2022-06-19,28.749999999999996,1.25,29.999999999999996,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2022-06-19,23.125,0.625,23.75,NA,NA
Magnetic Island Reefs,Alma Bay,1,2022-02-28,47.5,3.125,50.625,NA,NA
Magnetic Island Reefs,Alma Bay,2,2022-02-28,51.24999999999999,1.25,52.49999999999999,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2022-02-27,50.625,0,50.625,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2022-02-27,71.25,0.625,71.875,NA,NA
Magnetic Island Reefs,Florence Bay,1,2022-02-11,25,0,25,NA,NA
Magnetic Island Reefs,Florence Bay,2,2022-02-11,28.125,0,28.125,NA,NA
Magnetic Island Reefs,Middle Reef,1,2022-02-11,31.25,2.5,33.75,NA,NA
Magnetic Island Reefs,Middle Reef,2,2022-02-11,89.375,1.25,90.625,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2021-02-14,20.625,1.25,21.875,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2021-02-14,42.5,1.875,44.375,NA,NA
Magnetic Island Reefs,Alma Bay,2,2021-02-13,33.125,3.75,36.875,NA,NA
Magnetic Island Reefs,Alma Bay,1,2021-02-13,36.25,1.25,37.5,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2021-02-13,70.625,0.625,71.25,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2021-02-13,37.5,0.625,38.125,NA,NA
Magnetic Island Reefs,Florence Bay,1,2021-01-27,15,0,15,NA,NA
Magnetic Island Reefs,Florence Bay,2,2021-01-27,30.625000000000004,0.625,31.250000000000004,NA,NA
Magnetic Island Reefs,Middle Reef,1,2021-01-27,53.125,0,53.125,NA,NA
Magnetic Island Reefs,Middle Reef,2,2021-01-27,53.125,0,53.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2020-08-12,60.62499999999999,0,60.62499999999999,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2020-08-12,37.5,0.625,38.125,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2020-06-22,13.125,0,13.125,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2020-06-22,31.25,0.625,31.875,NA,NA
Magnetic Island Reefs,Florence Bay,1,2020-05-01,12.5,0,12.5,NA,NA
Magnetic Island Reefs,Florence Bay,2,2020-05-01,33.75,1.25,35,NA,NA
Magnetic Island Reefs,Middle Reef,2,2020-05-01,50.625,0,50.625,NA,NA
Magnetic Island Reefs,Middle Reef,1,2020-05-01,19.375,0,19.375,NA,NA
