REEF_ID,REEF,YEAR,SECTOR,SHELF,CHANGE.SCORE,COVER.SCORE,JUVENILE.SCORE,COVER.SCORE_Grade,JUVENILE.SCORE_Grade,CHANGE.SCORE_Grade
18086,Chicken Reef,2005,TO,O,NA,0.339521468,NA,D,NA,NA
18086,Chicken Reef,2006,TO,O,0,0.301341216,NA,D,NA,E
18086,Chicken Reef,2007,TO,O,0.305187046,0.349379441,0.925640969,D,A,D
18086,Chicken Reef,2008,TO,O,0.203458031,0.334891293,0.863524632,D,A,D
18086,Chicken Reef,2009,TO,O,0.288023311,0.382222222,0.73621768,D,B,D
18086,Chicken Reef,2010,TO,O,0.288023311,0.378802903,0.92845638,D,A,D
18086,Chicken Reef,2011,TO,O,0.18057305,0.168444444,0.481057831,E,C,E
18086,Chicken Reef,2012,TO,O,0.209254481,0.128238482,1,E,A,D
18086,Chicken Reef,2013,TO,O,0.224030689,0.214700168,1,D,A,D
18086,Chicken Reef,2014,TO,O,0.43316215,0.256444444,1,D,A,C
18086,Chicken Reef,2015,TO,O,0.458543463,0.297042993,1,D,A,C
18086,Chicken Reef,2016,TO,O,0.594207033,0.341777778,1,D,A,C
18086,Chicken Reef,2017,TO,O,0.633834558,0.390222222,1,D,A,B
18086,Chicken Reef,2018,TO,O,0.602925568,0.455111111,1,C,A,B
18086,Chicken Reef,2019,NA,NA,0.625671624,0.455111111,1,C,A,B
18086,Chicken Reef,2020,TO,O,0.592802854,0.596140602,1,C,A,C
18086,Chicken Reef,2021,TO,O,0.597451212,0.669421552,1,B,A,C
18086,Chicken Reef,2022,TO,O,0.535481054,0.70877197,1,B,A,C
18086,Chicken Reef,2023,TO,O,0.535481054,0.732222481,1,B,A,C
18086,Chicken Reef,2024,TO,O,0.53817545,0.668705116,1,B,A,C
18086,Chicken Reef,2025,TO,O,0.313928419,0.6425612,1,B,A,D
18096,Davies Reef,2005,TO,M,NA,0.44019947,NA,C,NA,NA
18096,Davies Reef,2006,NA,NA,NA,0.44019947,NA,C,NA,NA
18096,Davies Reef,2007,TO,M,0,0.391254505,0.934931535,D,A,E
18096,Davies Reef,2008,NA,NA,0,0.391254505,0.934931535,D,A,E
18096,Davies Reef,2009,TO,M,0.243732242,0.451555556,0.695796435,C,B,D
18096,Davies Reef,2010,NA,NA,0.243732242,0.451555556,0.695796435,C,B,D
18096,Davies Reef,2011,TO,M,0.487464483,0.272444444,0.477854743,D,C,C
18096,Davies Reef,2012,NA,NA,0.487464483,0.272444444,0.477854743,D,C,C
18096,Davies Reef,2013,TO,M,0.559053849,0.373449773,1,D,A,C
18096,Davies Reef,2014,NA,NA,0.559053849,0.373449773,1,D,A,C
18096,Davies Reef,2015,TO,M,0.559053849,0.377777778,1,D,A,C
18096,Davies Reef,2016,NA,NA,0.559053849,0.377777778,1,D,A,C
18096,Davies Reef,2017,TO,M,0.475434852,0.422222222,1,C,A,C
